Itemid,Judgement
001-126544,violation
001-126564,violation
001-126807,violation
001-150306,violation
001-150322,violation
001-150233,violation
001-148655,violation
001-148657,violation
001-148636,violation
001-120963,violation
001-121827,violation
001-121828,violation
001-120517,violation
001-120515,violation
001-120063,violation
001-146413,violation
001-146414,violation
001-146380,violation
001-206206,violation
001-206194,violation
001-206159,violation
001-206148,violation
001-206151,violation
001-205987,violation
001-205225,violation
001-162018,violation
001-162021,violation
001-162025,violation
001-161801,violation
001-161948,violation
001-161942,violation
001-161808,violation
001-161809,violation
001-161806,violation
001-161735,violation
001-161734,violation
001-161530,violation
001-175670,violation
001-175651,violation
001-175661,violation
001-175483,violation
001-175469,violation
001-175476,violation
001-175478,violation
001-175479,violation
001-175480,violation
001-175546,violation
001-175154,violation
001-175137,violation
001-174952,violation
001-174956,violation
001-193872,violation
001-193874,violation
001-193471,violation
001-193472,violation
001-193493,violation
001-193454,violation
001-91061,violation
001-91088,violation
001-91090,violation
001-91092,violation
001-91094,violation
001-91096,violation
001-91098,violation
001-91100,violation
001-90804,violation
001-91024,violation
001-90963,violation
001-90965,violation
001-90967,violation
001-90969,violation
001-90971,violation
001-90973,violation
001-90975,violation
001-90977,violation
001-90979,violation
001-90943,violation
001-90815,violation
001-90798,violation
001-179557,violation
001-179563,violation
001-179569,violation
001-179429,violation
001-179420,violation
001-179410,violation
001-166943,violation
001-166916,violation
001-166772,violation
001-166775,violation
001-166776,violation
001-61317,violation
001-58288,violation
001-58060,violation
001-152385,violation
001-152386,violation
001-152387,violation
001-152381,violation
001-152351,violation
001-152251,violation
001-150998,violation
001-128040,violation
001-128034,violation
001-127810,violation
001-127619,violation
001-61828,violation
001-75137,violation
001-72925,violation
001-145779,violation
001-145780,violation
001-145703,violation
001-145704,violation
001-145360,violation
001-145579,violation
001-145573,violation
001-118732,violation
001-174115,violation
001-174065,violation
001-173774,violation
001-161051,violation
001-160629,violation
001-160414,violation
001-188275,violation
001-187937,violation
001-187943,violation
001-187921,violation
001-114277,violation
001-114251,violation
001-90325,violation
001-90334,violation
001-90338,violation
001-90343,violation
001-90336,violation
001-90272,violation
001-90276,violation
001-90097,violation
001-90182,violation
001-90192,violation
001-90196,violation
001-90207,violation
001-90214,violation
001-90062,violation
001-156274,violation
001-156062,violation
001-156069,violation
001-155812,violation
001-155353,violation
001-155662,violation
001-168844,violation
001-168868,violation
001-168387,violation
001-168389,violation
001-168391,violation
001-167760,violation
001-111132,violation
001-110806,violation
001-103168,violation
001-102672,violation
001-199176,violation
001-199170,violation
001-198885,violation
001-198887,violation
001-198816,violation
001-198718,violation
001-198815,violation
001-94573,violation
001-94452,violation
001-94458,violation
001-94301,violation
001-94303,violation
001-94212,violation
001-94216,violation
001-94218,violation
001-94220,violation
001-94222,violation
001-94225,violation
001-94227,violation
001-94229,violation
001-94231,violation
001-94234,violation
001-94236,violation
001-94238,violation
001-94084,violation
001-86581,violation
001-86439,violation
001-86341,violation
001-86343,violation
001-57505,violation
001-79233,violation
001-79241,violation
001-79243,violation
001-78585,violation
001-69636,violation
001-69831,violation
001-69754,violation
001-183950,violation
001-184066,violation
001-183813,violation
001-183555,violation
001-183568,violation
001-183571,violation
001-140910,violation
001-140770,violation
001-140782,violation
001-140783,violation
001-140766,violation
001-140767,violation
001-140754,violation
001-140234,violation
001-155001,violation
001-154733,violation
001-154596,violation
001-182166,violation
001-182221,violation
001-181860,violation
001-163800,violation
001-163813,violation
001-164190,violation
001-163454,violation
001-163353,violation
001-177410,violation
001-177411,violation
001-177415,violation
001-177416,violation
001-177418,violation
001-177426,violation
001-177427,violation
001-177430,violation
001-177433,violation
001-177404,violation
001-177393,violation
001-177218,violation
001-177219,violation
001-177221,violation
001-158483,violation
001-158489,violation
001-158478,violation
001-158471,violation
001-171779,violation
001-171478,violation
001-171482,violation
001-123422,violation
001-123391,violation
001-122433,violation
001-122363,violation
001-147687,violation
001-147440,violation
001-147334,violation
001-147281,violation
001-147283,violation
001-88805,violation
001-88725,violation
001-88728,violation
001-88754,violation
001-88756,violation
001-88677,violation
001-88681,violation
001-88687,violation
001-88691,violation
001-88698,violation
001-88577,violation
001-88466,violation
001-88468,violation
001-88470,violation
001-88472,violation
001-88474,violation
001-96100,violation
001-204190,violation
001-203831,violation
001-203835,violation
001-203832,violation
001-203824,violation
001-203842,violation
001-203809,violation
001-203562,violation
001-203558,violation
001-203684,violation
001-203484,violation
001-203610,violation
001-112529,violation
001-112305,violation
001-60493,violation
001-142185,violation
001-141915,violation
001-116029,violation
001-115865,violation
001-115869,violation
001-115882,violation
001-115885,violation
001-115879,violation
001-115867,violation
001-115875,violation
001-115872,violation
001-115876,violation
001-191545,violation
001-191547,violation
001-191489,violation
001-186669,violation
001-186689,violation
001-186688,violation
001-186680,violation
001-186685,violation
001-186687,violation
001-186441,violation
001-186445,violation
001-186424,violation
001-186425,violation
001-77323,violation
001-57642,violation
001-85202,violation
001-85093,violation
001-85097,violation
001-85099,violation
001-85105,violation
001-84891,violation
001-84923,violation
001-84961,violation
001-92744,violation
001-92774,violation
001-92776,violation
001-92781,violation
001-92784,violation
001-92787,violation
001-195853,violation
001-195867,violation
001-195539,violation
001-101444,violation
001-100989,violation
001-101208,violation
001-109363,violation
001-109060,violation
001-109119,violation
001-58417,violation
001-113548,violation
001-113301,violation
001-113534,violation
001-113536,violation
001-113539,violation
001-113543,violation
001-113549,violation
001-113551,violation
001-113553,violation
001-113555,violation
001-113636,violation
001-113641,violation
001-113411,violation
001-113522,violation
001-202748,violation
001-202749,violation
001-202751,violation
001-202765,violation
001-202766,violation
001-202613,violation
001-202618,violation
001-202703,violation
001-202533,violation
001-202529,violation
001-104903,violation
001-95905,violation
001-95880,violation
001-95781,violation
001-95804,violation
001-95818,violation
001-95833,violation
001-95845,violation
001-95784,violation
001-95732,violation
001-95736,violation
001-95762,violation
001-95564,violation
001-95677,violation
001-95680,violation
001-87896,violation
001-88006,violation
001-87830,violation
001-87832,violation
001-87840,violation
001-57836,violation
001-70756,violation
001-70467,violation
001-192892,violation
001-192945,violation
001-192458,violation
001-116974,violation
001-116975,violation
001-116825,violation
001-116716,violation
001-116758,violation
001-116371,violation
001-116441,violation
001-144344,violation
001-144142,violation
001-144619,violation
001-144140,violation
001-144144,violation
001-144145,violation
001-142961,violation
001-144108,violation
001-185490,violation
001-186038,violation
001-186039,violation
001-186021,violation
001-78236,violation
001-68862,violation
001-108861,violation
001-108584,violation
001-108643,violation
001-108500,violation
001-197266,violation
001-197213,violation
001-196881,violation
001-196890,violation
001-196605,violation
001-196677,violation
001-196674,violation
001-93875,violation
001-93879,violation
001-93886,violation
001-93894,violation
001-93790,violation
001-93794,violation
001-93796,violation
001-93730,violation
001-93732,violation
001-93744,violation
001-93748,violation
001-93750,violation
001-93496,violation
001-93316,violation
001-85777,violation
001-85779,violation
001-85786,violation
001-85790,violation
001-85728,violation
001-85671,violation
001-85689,violation
001-85691,violation
001-85661,violation
001-85665,violation
001-85667,violation
001-181385,violation
001-181278,violation
001-180843,violation
001-153476,violation
001-153317,violation
001-153017,violation
001-140000,violation
001-139904,violation
001-139905,violation
001-139906,violation
001-138888,violation
001-139278,violation
001-138883,violation
001-162216,violation
001-162115,violation
001-173102,violation
001-173099,violation
001-172652,violation
001-172560,violation
001-172455,violation
001-172456,violation
001-172457,violation
001-172468,violation
001-172469,violation
001-172470,violation
001-159766,violation
001-159210,violation
001-159198,violation
001-126359,violation
001-126349,violation
001-57526,no-violation
001-57507,no-violation
001-163347,no-violation
001-154398,no-violation
001-180555,no-violation
001-57906,no-violation
001-144669,no-violation
001-96341,no-violation
001-96035,no-violation
001-57651,no-violation
001-198637,no-violation
001-108831,no-violation
001-142519,no-violation
001-111521,no-violation
001-203314,no-violation
001-103866,no-violation
001-103625,no-violation
001-103548,no-violation
001-109552,no-violation
001-109541,no-violation
001-101579,no-violation
001-101514,no-violation
001-196421,no-violation
001-177692,no-violation
001-181591,no-violation
001-120969,no-violation
001-120966,no-violation
001-170862,no-violation
001-113715,no-violation
001-187395,no-violation
001-78427,no-violation
001-206514,no-violation
001-86003,no-violation
001-73198,no-violation
001-138559,no-violation
001-167099,no-violation
001-167095,no-violation
001-180288,no-violation
001-179819,no-violation
001-179884,no-violation
001-179825,no-violation
001-83335,no-violation
001-173370,no-violation
001-145216,no-violation
001-145000,no-violation
001-57937,no-violation
001-150303,no-violation
001-76746,no-violation
001-76762,no-violation
001-76766,no-violation
001-107157,no-violation
001-60645,no-violation
001-60644,no-violation
001-174413,no-violation
001-114659,no-violation
001-204582,no-violation
001-157524,no-violation
001-157821,no-violation
001-188359,no-violation
001-188268,no-violation
001-79486,no-violation
001-79488,no-violation
001-183395,no-violation
001-183122,no-violation
001-110023,no-violation
001-189631,no-violation
001-72236,no-violation
001-72238,no-violation
001-72239,no-violation
001-72240,no-violation
001-72241,no-violation
001-57885,no-violation
001-169468,no-violation
001-89309,no-violation
001-106308,no-violation
001-205050,no-violation
001-204992,no-violation
001-87338,no-violation
001-201331,no-violation
001-200868,no-violation
001-101958,no-violation
001-110261,no-violation
001-57423,no-violation
001-57515,no-violation
001-79804,no-violation
001-164681,no-violation
001-164659,no-violation
001-83537,no-violation
001-76251,no-violation
001-126551,no-violation
001-161945,no-violation
001-175482,no-violation
001-174993,no-violation
001-179403,no-violation
001-166691,no-violation
001-128044,no-violation
001-145546,no-violation
001-82370,no-violation
001-105575,no-violation
001-105773,no-violation
001-97704,no-violation
001-102975,no-violation
001-94530,no-violation
001-94533,no-violation
001-86146,no-violation
001-69936,no-violation
001-184068,no-violation
001-184058,no-violation
001-140402,no-violation
001-163665,no-violation
001-163356,no-violation
001-158155,no-violation
001-171529,no-violation
001-171087,no-violation
001-58109,no-violation
001-122892,no-violation
001-115849,no-violation
001-195546,no-violation
001-109084,no-violation
001-104945,no-violation
001-87894,no-violation
001-142672,no-violation
001-93504,no-violation
001-85436,no-violation
001-176769,no-violation
001-162217,no-violation
001-162117,no-violation
001-172845,no-violation
001-159196,no-violation
001-59060,no-violation
001-148269,no-violation
